plant_index,site_id,detail_url,scientific_name_master,scientific_name_page,name_match,family_page,synonym_page,bangla_name,english_name,disease_raw,uses_raw,chemical_constituents_raw,habit,distribution_raw,description_raw,source_cache_file,http_status,scrape_timestamp,quality_flags
21,24,https://mpbd.cu.ac.bd/details.php?id=24,Benincasa hispida (Thunb.) Cogn.,Benincasa hispida (Thunb.) Cogn.,True,Cucurbitaceae,Benincasa cerifera  Savi Benincasa vacua  (F.Muell.) F.Muell. Cucurbita hispida  Thunb. Cucurbita vi,"Chalkumra,Chalkumra(Chakma),Anda-chae(Chak),Akkharu(Garo),Aamy-kaowling(khasia),umaei(Lushai),Kampen","Ash gourd,Wax gourd,White gourd.","Colic, diabetes, oedema, haemorrhages, phthisis, facial euruption, antidote, insanity, epilepsy,  nervous diseases, strangury, urinary calculi, tapeworms, heart diseases, tuberculesis, tympanitis, colic pain, bruises.","The plant is used in Colic, diabetes, oedema, haemorrhages, phthisis, facial euruption, antidote, insanity, epilepsy, nervous diseases, strangury, urinary calculi, tapeworms, heart diseases, tuberculesis, tympanitis, colic pain, bruises.","Fruits contain ?- sitosterol, asparagine, luoeol, mannitol, proline, arginine, aspartic acid, glutamic acid, glutamine, hydroxyproline, isoleucine, cysteine, L-leucine, n-triacontanol, glucose and rhamnose. Source of vitamin B1.",Climber,This  species found throughout  Bangladesh.,"Monoecious, hispid climbers;Leaves large, orbicular-cordate, margin irregularly dentate, scabrous. Flowers axillary, solitary. Calyx tube broadly campanulate, lanceolate. Corolla yellow; petals 5, obovate. Stamens in male flowers 3, inserted at the calyx tube; anthers sigmoid-flexuous. Ovary in female flowers ovoid, densely pubescent; ovules many. Fruits large, succulent, densely hairy when young, with a thick waxy deposit when mature. Seeds  avoid, compressed, yellowish white, marginate.",cdb953c562299964ce711418.html,200,2026-09-24T18:38:29.067840+00:00,encoding_loss_suspected
22,25,https://mpbd.cu.ac.bd/details.php?id=25,Citrullus colocynthis (L.) Schard.,Citrullus colocynthis (L.) Schard.,True,Cucurbitaceae.,Citrullus colocynthoides  Pangalo Citrullus pseudocolocynthis  M.Roem. Colocynthis officinalis  Schrad,"Makal,Indrayan.","Bitter apple,Wild watermelon,Colosynth.","Hydrogogue, cathartic, purgative, ascities, jaundice, uterine problems, amenorrhoea, uterine problems, amenorrhoea, abdominal problems, rheumatism, cough, asthma, breast inflammation, hair tonic, snakebite, dysentery, diarrhoea, epilepsy.","The plant is used in Hydrogogue, cathartic, purgative, ascities, jaundice, uterine problems, amenorrhoea, abdominal problems, rheumatism, cough, asthma, breast inflammation, hair tonic, snakebite, dysentery, diarrhoea, epilepsy.","Biller oil ‘citbittol’, colocynthin, colocynthetin. Roots contain aelaterin, hentriacontairi, and saponins. Seeds contain fixed oil, a phytosterolin, 2 phytosterols, 2 hydro-carbons, a saponin, alkaloid, glycoside, tannin. Pulp contains a-elaterin, hentri",Herb,The  species occurs in the forests of Tangail and Dhaka.,"Perennial trailing herbs with somewhat woody tuberous root; stems shortly hairy when young becoming scabrid.. Leaves alternate, elongate-ovate in outline. Male flowers on long pedicels; calyx campanulate; corolla pale yellow, ovate-acute. Female flowers on longer pedicels than male, receptacle-tube short, lobes lanceolate; ovary hairy, subglobose or obovate. Fruits, globose, smooth, longitudinally green striped, eipcarp thin, filled with a dry spongy very bitter pulp; seeds numerous, ovate-oblong, yellowish brown, not margined.",f3b1e4c45eacee2de97315c7.html,200,2026-09-24T18:38:30.570095+00:00,
23,26,https://mpbd.cu.ac.bd/details.php?id=26,Momordica dioica Roxb. ex Willd.,Momordica dioica Roxb. ex Willd.,True,Cucurbitaceae,Momordica hispida  Dennst. ex Miq. Momordica roxburghii  G. Don Momordica tuberosa  Dennst. ex Miq.,"Korolla,Gheekorolla,Dhorkorolla,Kangha gula(Tanchangya).",Balsam pear,"Aphrodisiac, anthelmintic, fever, consumption, asthma, bronchitis, hiccup, piles, alexiteric, stomachic, laxative, biliousness, leprosy, tumours, urinary discharges, excessive salivation, heart troubles, urinary calculi, jaundice, ulcers, bowel complaints","The plant is used in Aphrodisiac, anthelmintic, fever, consumption, asthma, bronchitis, hiccup, piles, alexiteric, stomachic, laxative, biliousness, leprosy, tumours, urinary discharges, excessive salivation, heart troubles, urinary calculi, jaundice, ulc","An alkaloid, a fragrant extractive matter and ash 3 to 4 percent.",Climber,The  species   occurs  in the forests of Chittagong.,"It is a Perennial climber with unbranched, glabrous tendrils, dioecious. Root tuberous. Leaves broadly ovate, membranous. Male flowers  yellow, bracts large, sessile, entire, glabrous. Petals obtuse. Female flowers yellow; calyx lobes linear-lanceolate; corolla similar to male flowers. Ovary ovoid, covered with long and soft papillae. Fruit ovoid or ellipsoid, yellow when mature, densely covered with soft spines, shortly beaked (rostrate) at apex. Seeds somewhat compressed, irregularly corrugated.",66e2bd36c1db5a35c8242377.html,200,2026-09-24T18:38:31.899589+00:00,
24,27,https://mpbd.cu.ac.bd/details.php?id=27,Mukia maderaspatana (L.) M. Roem,Mukia maderaspatana (L.) M. Roem,True,Cucurbitaceae,Bryonia maderaspatana(L.)  Lam. Cucumis maderaspatanus  L. Melothria maderaspatana  (L.) Cogn. Bryon,"Agmkhi,Bilari",,Dysurea,The plant is used in Dysurea.,Columbin isolated from roots.,Herb,This  species found throughout  Bangladesh.,"Prostrate or climbing scabrid herbs; tendrils simple. Leaves ovate-deltoid, base cordate, margin denticulate, apex accuminate, mucronate, scabrid on both sides. Male flowers in axillary, sessile clusters. Petals 5, ovate-oblong, obtuse, yellow. Stamens 3, free, inserted at base of calyx tube; anthers oblong, ciliate. Female flowers solitary or in clusters. Ovary villous. Berry, globose, red. Seeds lenticular, rugose.",dbe275bdf9d0f752183324eb.html,200,2026-09-24T18:38:33.031031+00:00,
25,28,https://mpbd.cu.ac.bd/details.php?id=28,Brassica juncea (L.) Czern.,Brassica juncea (L.) Czern.,True,Brassicaceae,Brassica cernua  (Thunb.) F.B. Forbes & Hemsl. Crucifera juncea  E.H.L.Krause Sinapis juncea  L. Sin,"Raisarisha,Bararai,Jhuni,Chanchi,Pay-ching(Rakhaing).","Indian Mustard,Chinese Mustard,Brown Mustard.","Skin diseases, cold, cough, fever.","This  plant is used in Skin diseases, cold, cough, fever.","Seeds contain sinigrin, gluconapin, sinapine base and a volatile isothyocynate. Essential oil.",Herb,,"Annual erect herbs. Leaves alternate: lower and basal petiolate. Inflorescence 15-30 cm long in fruit; pedicels ascending. Sepals  oblong. Petals bright yellow, clawed with obovate limb. Anthers  broad with conical beak , midvein prominently keeled. Seeds 12-20, dark reddish-brown, globose, finely reticulate.",49ae1278ba4b4738d1221981.html,200,2026-09-24T18:36:40.431152+00:00,
26,29,https://mpbd.cu.ac.bd/details.php?id=29,Raphanus raphanistrum subsp. SATIVUS(L.) Domin.,Raphanus raphanistrum subsp. SATIVUS(L.) Domin.,True,Brassicaceae,Raphanus sativus  L. Raphani strumgayanum  Fisch. & C.A.Mey. Raphanus chinensis  Mill. Raphanus cand,"Mula,Mulwa(Chakma),Mala(Marma),Mou-laa(Rakhaing).","Radish,Cultivared radish.","Hyper acidity, Tetanus.","This plant is used in Hyper acidity,Tetanus.","Seeds yield essential oil. Fleshy roots and seeds contain glucoside, enzyme, and methyl mercaptan. Sulforaphene from seeds.",Herb,This  species found throughout Bangladesh.,"Annual or biennial brassicaceous, their swollen tap-roots  can be globular, tapering or cylindrical. The root skin colour ranges from white through pink, red, purple, yellow and green to black but the flesh is usually white. Smaller types have a few leaves about 13 cm (5 in) long with round roots . The flesh of radishes harvested timely is crisp and sweet, but becomes bitter and tough if the vegetable is left in the ground for too long.Leaves are arranged in a rosette. They have a lyrate shape, meaning they are divided pinnately with an enlarged terminal lobe and smaller lateral lobes. The white flowers are borne on a racemoseinflorescence. The fruits are small pods which can be eaten when young.",0b5f6480abbe6fa2142e4560.html,200,2026-09-24T18:38:34.180494+00:00,
27,30,https://mpbd.cu.ac.bd/details.php?id=30,Moringa oleifera Lam.,Moringa oleifera Lam.,True,Moringaceae,Guilandina moringa  L. Hyperanthera moringa  (L.) Vahl Moringa zeylanica  Burmann.,"Sajna,Sajina,Sojine,Sesna shak(Chakma),Dain-sha-nai(Chak),Khunjan(Dalu),Sajna-phang(Garo),Bonjon(Haj","Drumstick tree,Horse radish tree,Ben oil tree.","Paralysis, intermittent fever, epilepsy, hysteria, rhuematism, articular pains, affection of theliver and speen, stimulant, stomach upset, colic, flatulence, gout, hyper tension, impotence, jaundice, lumbago, neuralgia, oedema, sleenomegaly, strangury, vo","This plant is used in Paralysis, intermittent fever, epilepsy, hysteria, rhuematism, articular pains, affection of the liver and speen, stimulant, stomach upset, colic, flatulence, gout, hyper tension, impotence, jaundice, lumbago, neuralgia, oedema, slee","Alanine, arginine, glvcine, threonine, serine, valine, glutamic and aspartic acids in flowers and fruits. Lysine, sucrose and glucose in flowers. 4-hydroxymellein, vanillin, octacosanoic acid, ?-sitosterol and ?- sitostenone from stems. Aldotriouronic aci",Tree,This  species found throughout  Bangladesh.,"A large tree, with gummy bark, younger parts pubescent. Leaves alternate, tripinnately imparipinnate, deciduous; rachis pubescent, slender, pulvinate and jointed at base. Inflorescence 8-30 cm long with ovoid buds. Flowers white, honey scented. Calyx tube hairy; Petals white, the anterior erect, others reflexed, ascending imbricate. Stamens 5, alternating with 5(-7) sterile filaments or sometimes with non func¬tional stamens. Ovary oblong. Fruit a 9-ribbed pendulous pod, somewhat tomentose when young. Seeds embedded in the pits of the valves, 3 angled, winged, blackish, rounded.",259f423d8166e898923878ec.html,200,2026-09-24T18:38:35.544350+00:00,encoding_loss_suspected
28,31,https://mpbd.cu.ac.bd/details.php?id=31,Diospyros malabarica(desr.) Kostel.,Diospyros malabarica(desr.) Kostel.,True,Ebenaceaea,Diospyros peregrina(Gaertn.)  Girke Diospyros citrifolia  Wall. ex A.DC. Diospyros biflora Blanco Em,"Gab,Desi gab,Makur-kendi,Kala tendu,Keth gula(chakma),Tomal(Hajong),Thysee(Khasia),Nekurkendi(Lalong","Gaub persimmon,River ebony,Indian persimmon,Malabar ebony,Wild Mangosteen.","Ulcers, dysentery, blood purification, abscesses, abdominal pain, astringent, oleagenous; biliousness, stone in urinary tract, acrid, bitter, cures blisters in mouth, wounds, ulcers, diarrhoea, aphthae, sore throat, coughs, dyspnoea, hiccup, intermittent","This plant is used in Ulcers, dysentery, blood purification, abscesses, abdominal pain, astringent, oleagenous; cures biliousness, stone in urinary tract, acrid, bitter, cures blisters in mouth, wounds, ulcers, diarrhoea, aphthae, sore throat, coughs, dys","Fruit pulp contains?-sitosteroI and its glucoside, betulin, a monohydroxy triterpene ketone, betulinic acid, gallic acid, hexacosane, hexacosanol. Oleanolic acid and myricyl alcohol from leaves. Saponin from bark.",Tree,This  species found throughout  Bangladesh.,"Dioecious trees, bark black with greenish tinge flaking off in thick scales; branchlets glabrous. Leaves simple, alternate, distichous, estipulate, base round, obtuse or acute, apex acute or obtuse, margin entire, glabrous and shining, coriaceous. Flowers unisexual, pale yellow; male flowers: 2-7 in axillary, drooping cymes, peduncle short; stamens usually 40, in pairs, inserted at the base of the corolla tube or on the receptacle beneath it; filaments hairy; anthers nearly equal, linear with a line of hairs up the middle; pistillode fleshy; female flowers: usually solitary, axillary, drooping; pedicels very short; ovary superior, globose, 8-celled, ovule 1-in each cell. Fruit a berry, subglobose, yellow, covered with a rusty easily detachable scruffiness; pericarp thin, pulp viscid and glutinous; seeds 4-8, flattened, reddish-brown.",c3c19d11c2722af8d28e7a3a.html,200,2026-09-24T18:38:37.028754+00:00,encoding_loss_suspected
29,32,https://mpbd.cu.ac.bd/details.php?id=32,Cydonia oblonga Mill.,Cydonia oblonga Mill.,True,Rosaceae,Cydonia communis  Loisel. Cydonia vulgaris  Pers. Pyrus cydonia  L. Sorbus cydonia  Crantz,Bhidhana,,"Bronchitis, asthma, whooping cough.","This plant is used in Bronchitis, asthma, whooping cough.","Fruit skin flavonols, hyperin, quercetin and isoquercetin; terpemoid lactones.",Shrub,,"Shrubs or small trees. Branchlets purplish red when young, purplish brown when old, leaf blade ovate to oblong, base rounded or subcordate, margin entire, apex acute or emarginate. Flowers : bracts caducous, ovate. Hypanthium campanulate, abaxially densely tomentose. Sepals ovate or broadly lanceolate. Petals white or pinkish. Stamens less than 1/2 as long as petals. Styles nearly as long as stamens. Fruit fragrant, yellow, pear-shaped. Fl. Apr–May, fr. Oct.",1c46638174caaeccd000faa6.html,200,2026-09-24T18:38:38.296450+00:00,
30,33,https://mpbd.cu.ac.bd/details.php?id=33,Prunus amygdalus Stokes,Prunus amygdalus Stokes,True,Rosaceae,,Kagazii badam,,"Sexual tonic, leucorrhoea.","This plant is used in Sexual tonic, leucorrhoea.","Chief protein is a globulin, amandin. A fatty oil known as Sweet Almond Oil. Prunasin, decosterin and sitosterol from bitter seeds. HCN glucosides.",,This  species found throughout  Bangladesh.,"Trees or shrubs. Branches erect or horizontally spreading, unarmed, with many short branchlets, glabrous;Leaves variable, those on previous year’s branches usually alternate, those on short branches approximate and often fascicled; leaf blade lanceolate to elliptic-lanceolate,base broadly cuneate to rounded, margin shallowly densely serrate, apex acute to shortly acuminate. Flowers solitary, opening before leaves. Hypanthium cylindrical, outside glabrous. Sepals broadly oblong to broadly lanceolate. Petals white or pinkish, oblong to obovate-oblong. Stamens unequal in length. Ovary densely tomentose. Style longer than stamens. Drupe obliquely ovoid to oblong. endocarp yellowish white to brown, ovoid, broadly ellipsoid, or shortly oblong, asymmetric on both sides. Seed sweet or bitter.",d49e94c38437808823db2337.html,200,2026-09-24T18:38:39.346284+00:00,
31,34,https://mpbd.cu.ac.bd/details.php?id=34,Acacia nilotica (L.) Delile subsp. INDICA(Benth) Brenan,Acacia nilotica (L.) Delile  subsp. INDICA(Benth) Brenan,True,Mimosaceae,Acacia arabica  var. indica Benth. Acacia nilotica  var. indica (Benth.)A.F.Hill,"Babla,Kikar,Janum-daru(Munda).","Indian Gum-arabic tree,Babul tree,Black babool,Egyptian mimosaceae.","Local pain, astringent, bowels, cough, bronchitis, diarrhoea, dysentery, biliousness, burning sensat","This plant is used in Local pain, astringent, bowels, cough, bronchitis, diarrhoea, dysentery, biliousness, burning sensation, piles, leucoderma,ascites, prolapsus ani.","Bark contains 7-20% tannnin; pods contin 12-19 % tannin. Several polyphenols are present in pods. Quercetin, gallic acid, catechin, epicatechin, dicatechin, leucocyanidin, epigallocatechin, polyphenolic phiobaphenes consisting mainly of catechol and pyrog",Tree,"The  species   occurs  in the forests of Bogra, Foridpur, Jessore, Kustia, Pabna and  Rajshahi.","Trees; bark black with deep narrow longitudinal fissures, running spirally up the tree, exudation gummy; blaze pinkish-brown; branchlets blackish or greyish. Leaves bipinnate, alternate, stipulate; stipular spines in pairs; leaflets 20-40, opposite, sessile, base oblique, apex obtuse, margin entire, glabrous, chartaceous. Flowers bright yellow, in heads on axillary peduncle; involucre of 2 bracteoles near or above the mid peduncle; calyx campanulate; ovary terete, stipitate, puberulous. Fruit a pod, strap-shaped, straight to slightly curved, deeply constricted between seeds; densely grey-felted, glaucous, greyish-green, turning black on drying, attenuate at base into stipe, dehiscent; seeds 8-13, flat,black.",f9f2bfe5d7624cf33003bad9.html,200,2026-09-24T18:38:40.499950+00:00,
